name,nationality,club,preferred.foot,position_group,age_group,overall,potential,wage,value
V. Gvilia,Georgia,FC Luzern,Right,MID,21 to 25,66,71,4000,850000
D. Burnić,Germany,Borussia Dortmund,Left,MID,20 and under,66,78,8000,1000000
A. Öztürk,Turkey,Sunderland,Right,DEF,21 to 25,66,70,4000,700000
K. Taketomi,Japan,Urawa Red Diamonds,Right,MID,25 to 30,66,66,4000,675000
M. Mancosu,Italy,Lecce,Right,MID,25 to 30,66,66,2000,625000
D. Jaković,Canada,Los Angeles FC,Right,DEF,31 to 35,66,66,2000,375000
M. Saeid,Sweden,IK Sirius,Left,MID,25 to 30,66,66,1000,650000
U. Taffertshofer,Germany,VfL Osnabrück,Right,MID,25 to 30,66,67,2000,625000
A. Medina,Argentina,Club Atlético Aldosivi,Right,FWD,31 to 35,66,66,4000,400000
M. Papadopulos,Czech Republic,Piast Gliwice,Right,FWD,31 to 35,66,66,3000,400000
N. Zaniolo,Italy,Roma,Left,MID,20 and under,66,84,7000,1000000
F. Montero,Argentina,Argentinos Juniors,Right,MID,25 to 30,66,66,4000,625000
J. Vuković,Croatia,Clube Sport Marítimo,Right,MID,25 to 30,66,69,3000,675000
E. Barli,Norway,Ranheim Fotball,Right,GK,25 to 30,66,70,1000,575000
G. Carrasco,Argentina,Club Atlético Lanús,Right,DEF,21 to 25,66,76,4000,900000
A. Balijon,France,Le Havre AC,Right,GK,31 to 35,66,66,1000,150000
I. Saavedra,Chile,Universidad Católica,Right,MID,20 and under,66,74,2000,900000
Z. Janjić,Bosnia Herzegovina,Korona Kielce,Right,MID,31 to 35,66,66,2000,500000
J. Skjelvik,Norway,LA Galaxy,Left,DEF,25 to 30,66,68,2000,650000
K. Kamiński,Poland,Júbilo Iwata,Right,GK,25 to 30,66,69,2000,550000
M. Endres,Germany,SpVgg Unterhaching,Right,DEF,25 to 30,66,67,2000,600000
B. Delacourt,France,KSV Cercle Brugge,Right,DEF,31 to 35,66,66,4000,375000
C. Rismark,Norway,SK Brann,Left,DEF,25 to 30,66,68,2000,650000
A. Ligi,Italy,Carpi,Right,DEF,25 to 30,66,66,1000,525000
D. Lachman,Curacao,PEC Zwolle,Right,DEF,25 to 30,66,66,3000,525000
M. Riascos,Colombia,Al Batin,Right,MID,25 to 30,66,66,5000,675000
L. Vignali,Italy,Spezia,Right,DEF,21 to 25,66,77,1000,950000
S. Skålevik,Norway,SK Brann,Right,FWD,21 to 25,66,71,2000,875000
M. Djetei,Cameroon,Gimnàstic de Tarragona,Right,DEF,21 to 25,66,75,2000,850000
A. Fuchs,Germany,1. FC Nürnberg,Right,MID,21 to 25,66,75,5000,975000
M. Könnecke,Germany,FSV Zwickau,Right,MID,25 to 30,66,66,1000,625000
E. Yao Guy,Ivory Coast,FC Lugano,Right,DEF,21 to 25,66,74,2000,825000
G. Burke,Republic of Ireland,Preston North End,Left,MID,21 to 25,66,71,4000,850000
C. Hemlein,Germany,1. FC Kaiserslautern,Right,MID,25 to 30,66,66,2000,675000
D. Anderson,Netherlands,US Salernitana 1919,Right,DEF,21 to 25,66,75,9000,850000
M. Døhr Thychosen,Denmark,FC Midtjylland,Right,DEF,21 to 25,66,74,4000,825000
A. Nordvik,Norway,Odds BK,Left,DEF,31 to 35,66,66,2000,425000
D. Thomalla,Germany,1. FC Heidenheim 1846,Right,FWD,21 to 25,66,69,4000,825000
P. Parzyszek,Poland,Piast Gliwice,Right,FWD,21 to 25,66,71,3000,875000
M. Fornasier,Italy,Pescara,Right,DEF,21 to 25,66,70,1000,700000
Michel Douglas,Brazil,CD Aves,Left,FWD,25 to 30,66,68,4000,800000
Álex Cobo,Spain,Deportivo de La Coruña,Right,GK,21 to 25,66,76,2000,800000
M. Çelik,Sweden,BK Häcken,Right,FWD,25 to 30,66,66,2000,650000
L. Woudenberg,Netherlands,SC Heerenveen,Left,DEF,21 to 25,66,70,2000,700000
T. Tekie,Sweden,Östersunds FK,Right,MID,21 to 25,66,72,5000,875000
D. Vega,Costa Rica,SK Brann,Left,FWD,21 to 25,66,67,2000,775000
N. Rusyn,Ukraine,Dynamo Kyiv,Right,FWD,20 and under,66,78,1000,1000000
Víctor,Spain,Deportivo de La Coruña,Right,MID,21 to 25,66,79,2000,1000000
A. Deja,Poland,Arka Gdynia,Right,MID,21 to 25,66,70,2000,700000
F. Cornejo,Chile,Audax Italiano,Right,MID,21 to 25,66,76,2000,1000000
A. Balboa,Uruguay,Belgrano de Córdoba,Right,FWD,21 to 25,66,73,4000,925000
D. Edwards,Wales,Reading,Right,MID,31 to 35,66,66,10000,475000
R. Vargas,Bolivia,,Right,Unknown,21 to 25,66,69,0,0
F. Rherras,Morocco,AS Béziers,Right,DEF,21 to 25,66,70,2000,675000
Gu Sung Yun,Korea Republic,Hokkaido Consadole Sapporo,Right,GK,21 to 25,66,70,1000,600000
C. Mavrias,Greece,Hibernian,Right,MID,21 to 25,66,72,2000,875000
E. Martinez,Uruguay,Colorado Rapids,Right,MID,25 to 30,66,66,3000,650000
Lee Chang Geun,Korea Republic,Jeju United FC,Right,GK,21 to 25,66,72,1000,650000
M. Mohsen,Egypt,,Right,FWD,25 to 30,66,66,0,0
A. Gómez,Peru,Minnesota United FC,Left,DEF,21 to 25,66,68,2000,650000
N. Ramírez,Chile,Club Deportes Temuco,Right,DEF,21 to 25,66,80,3000,1000000
C. Gebauer,Austria,SCR Altach,Right,MID,21 to 25,66,69,4000,825000
C. Knett,Austria,FC Wacker Innsbruck,Right,GK,25 to 30,66,67,3000,500000
K. Naismith,Scotland,Wigan Athletic,Left,DEF,25 to 30,66,67,15000,750000
Rober Correa,Spain,Cádiz CF,Right,DEF,21 to 25,66,69,3000,675000
C. Escobar,Chile,San Luis de Quillota,Right,FWD,25 to 30,66,66,2000,675000
J. Smeets,Netherlands,Fortuna Sittard,Right,MID,21 to 25,66,72,2000,875000
Borja Galán,Spain,AD Alcorcón,Right,MID,21 to 25,66,68,3000,775000
J. Intriago,Ecuador,,Right,MID,21 to 25,66,75,0,0
D. Sjölund,Finland,IFK Norrköping,Left,MID,31 to 35,66,66,2000,270000
E. Bonifacio,Argentina,Gimnasia y Esgrima La Plata,Right,DEF,21 to 25,66,73,4000,750000
Lee Ho Seung,Korea Republic,Jeonnam Dragons,Right,GK,25 to 30,66,66,2000,450000
G. Hein,France,FC Metz,Left,FWD,21 to 25,66,72,2000,900000
H. Abe,Japan,Kashima Antlers,Right,MID,20 and under,66,80,2000,1000000
A. De Bruyn,Belgium,Sint-Truidense VV,Right,MID,21 to 25,65,69,3000,700000
J. Akinde,England,Lincoln City,Right,FWD,25 to 30,65,65,6000,550000
D. McGregor,Scotland,Hibernian,Right,DEF,31 to 35,65,65,2000,300000
G. Villarruel,Argentina,San Martín de San Juan,Right,MID,21 to 25,65,68,3000,675000
Pastrana,Spain,RC Celta,Left,MID,21 to 25,65,75,4000,875000
Teixeira José,Brazil,Pohang Steelers,Right,DEF,25 to 30,65,65,6000,425000
A. Fernández,Uruguay,San Martin de Tucumán,Right,MID,31 to 35,65,65,3000,400000
J. Devecchi,Argentina,San Lorenzo de Almagro,Right,GK,21 to 25,65,75,3000,675000
C. Früchtl,Germany,FC Bayern München,Left,GK,20 and under,65,86,3000,1000000
I. Rondanini,Italy,Brescia,Right,DEF,21 to 25,65,73,1000,675000
W. Creavalle,Guyana,Philadelphia Union,Right,MID,25 to 30,65,66,2000,500000
A. Considine,Scotland,Aberdeen,Left,DEF,31 to 35,65,65,2000,350000
J. Vitale,Argentina,San Martin de Tucumán,Right,MID,21 to 25,65,74,4000,725000
J. Ryerson,Norway,1. FC Union Berlin,Right,MID,20 and under,65,73,5000,700000
J. Ríos,Colombia,Alianza Petrolera,Right,MID,25 to 30,65,67,1000,550000
K. Dabila,Ivory Coast,LOSC Lille,Right,DEF,21 to 25,65,75,5000,775000
Avilés,Spain,CD Leganés,Right,MID,20 and under,65,74,5000,850000
No Dong Geon,Korea Republic,Suwon Samsung Bluewings,Right,GK,25 to 30,65,68,2000,475000
Benjamin Muscato,Brazil,Chapecoense,Right,DEF,25 to 30,65,65,4000,475000
N. Topor-Stanley,Australia,Newcastle Jets,Left,DEF,31 to 35,65,65,1000,220000
P. Clement,Netherlands,Reading,Right,MID,21 to 25,65,71,7000,750000
H. Toffolo,England,Lincoln City,Left,DEF,21 to 25,65,70,4000,600000
C. Colkett,England,Shrewsbury,Left,MID,21 to 25,65,74,2000,825000
B. Çamoğlu,Turkey,Karlsruher SC,Right,MID,21 to 25,65,72,2000,775000
Yang Dong Hyen,Korea Republic,Cerezo Osaka,Right,FWD,31 to 35,65,65,3000,425000
S. Tetteh,Ghana,LASK Linz,Right,FWD,21 to 25,65,74,7000,850000
A. Dobos,Hungary,Fortuna Sittard,Left,MID,20 and under,65,79,1000,1000000
J. Mason,Republic of Ireland,Portsmouth,Right,FWD,25 to 30,65,65,16000,575000
Lee Woong Hee,Korea Republic,FC Seoul,Right,DEF,25 to 30,65,65,2000,425000
C. Lavery,Northern Ireland,Bury,Right,FWD,21 to 25,65,67,4000,675000
M. Savastano,Netherlands,AZ Alkmaar,Left,DEF,21 to 25,65,72,3000,650000
N. Granatowski,Germany,SV Meppen,Right,MID,25 to 30,65,65,1000,575000
M. Stiefler,Germany,Karlsruher SC,Right,MID,25 to 30,65,65,3000,525000
L. Pavez,Chile,Unión Española,Left,DEF,21 to 25,65,74,1000,700000
S. Román,Colombia,Once Caldas,Right,GK,21 to 25,65,74,1000,625000
M. Bakker,Netherlands,Ajax,Left,DEF,20 and under,65,79,2000,1000000
A. Sambi Lokonga,Belgium,RSC Anderlecht,Right,MID,20 and under,65,81,2000,1000000
M. Pérez Acuña,Argentina,Club Atlético Tigre,Right,DEF,21 to 25,65,71,3000,625000
K. Dempsey,England,Fleetwood Town,Right,MID,21 to 25,65,74,3000,825000
Lee You Hyeon,Korea Republic,Jeonnam Dragons,Right,FWD,21 to 25,65,75,2000,875000
Y. Quintana,Uruguay,San Jose Earthquakes,Right,DEF,21 to 25,65,73,2000,675000
B. Knighton,United States,New England Revolution,Right,GK,31 to 35,65,65,2000,270000
R. Bennett,England,Peterborough United,Right,DEF,25 to 30,65,65,3000,475000
A. Lonergan,England,Middlesbrough,Left,GK,31 to 35,65,65,9000,220000
B. Sverrisson,Iceland,Aarhus GF,Left,MID,25 to 30,65,65,4000,450000
D. Forde,Republic of Ireland,Cambridge United,Right,GK,Over 35,65,65,2000,40000
H. Gong,Nigeria,Vitesse,Right,FWD,20 and under,65,77,2000,950000
T. Kupisz,Poland,Ascoli,Right,MID,25 to 30,65,65,1000,550000
M. Abusabaan,Saudi Arabia,Al Faisaly,Right,MID,25 to 30,65,65,7000,525000
C. Amaya,Colombia,Once Caldas,Right,FWD,25 to 30,65,65,1000,575000
Wu Yake,China PR,Changchun Yatai FC,Right,GK,25 to 30,65,67,2000,450000
M. Schulz,Germany,FC Luzern,Right,MID,21 to 25,65,75,3000,750000
O. Rojas,Mexico,Lobos BUAP,Right,DEF,Over 35,65,65,2000,60000
P. Jaroszyński,Poland,Chievo Verona,Left,DEF,21 to 25,65,70,3000,600000
L. Reed,England,Peterborough United,Right,MID,20 and under,65,74,3000,825000
T. Elrich,Australia,Western Sydney Wanderers,Right,DEF,31 to 35,65,65,3000,350000
M. Malaeka,Saudi Arabia,Al Faisaly,Right,GK,31 to 35,65,65,5000,300000
C. Rentería,Colombia,Deportes Tolima,Right,MID,21 to 25,65,75,1000,750000
S. Cox,Republic of Ireland,Southend United,Right,FWD,31 to 35,65,65,3000,475000
A. Mannus,Northern Ireland,Shamrock Rovers,Right,GK,Over 35,65,65,1000,70000
P. Jaeckel,Germany,SpVgg Greuther Fürth,Right,DEF,20 and under,65,77,1000,825000
J. Bijol,Slovenia,PFC CSKA Moscow,Right,MID,20 and under,65,78,1000,900000
Z. Kozulj,Bosnia Herzegovina,Pogoń Szczecin,Right,MID,21 to 25,65,69,2000,700000
Song Jin Hyung,Korea Republic,FC Seoul,Right,MID,25 to 30,65,65,2000,500000
C. Duvall,United States,Montreal Impact,Right,DEF,25 to 30,65,66,2000,525000
R. Williams,England,Wycombe Wanderers,Right,FWD,21 to 25,65,74,10000,850000
M. Naamani,Algeria,Al Fateh,Right,DEF,25 to 30,65,67,7000,525000
M. Gollner,Austria,Wolfsberger AC,Left,DEF,25 to 30,65,66,4000,500000
D. Pedersen,Denmark,Lillestrøm SK,Right,MID,21 to 25,65,69,1000,600000
O. Berber,Turkey,Kayserispor,Left,DEF,25 to 30,65,68,4000,550000
Steven Vitória,Canada,Lechia Gdańsk,Right,DEF,31 to 35,65,65,2000,375000
B. Stokke,Norway,Randers FC,Left,FWD,25 to 30,65,65,4000,575000
M. Ospitalieri,Belgium,Fortuna Sittard,Left,DEF,25 to 30,65,67,2000,525000
J. Haugaard,Denmark,Stoke City,Left,GK,25 to 30,65,70,8000,500000
S. Mauk,Australia,Brisbane Roar,Right,MID,21 to 25,65,73,2000,800000
Óscar Whalley,Spain,Aarhus GF,Left,GK,21 to 25,65,70,2000,525000
S. O'Donnell,Republic of Ireland,Dundalk,Left,MID,31 to 35,65,65,1000,400000
Marquinhos Cipriano,Brazil,Shakhtar Donetsk,Left,MID,20 and under,65,81,1000,1000000
I. Vassell,England,Birmingham City,Right,FWD,21 to 25,65,68,7000,700000
T. Lehne Olsen,Norway,Lillestrøm SK,Right,FWD,25 to 30,65,66,2000,625000
S. Pontisso,Italy,Udinese,Right,MID,21 to 25,65,77,5000,950000
Henrique Jardinel,Brazil,América FC (Minas Gerais),Right,MID,25 to 30,65,65,4000,400000
C. Almeida,Uruguay,Defensa y Justicia,Left,DEF,25 to 30,65,65,3000,425000
R. Yalçın,Germany,Çaykur Rizespor,Right,MID,21 to 25,65,72,3000,650000
S. Jhingan,India,,Right,DEF,21 to 25,65,71,0,0
Jeong Hyun Cheol,Korea Republic,FC Seoul,Right,MID,21 to 25,65,69,2000,675000
M. McKenzie,United States,Philadelphia Union,Right,DEF,20 and under,65,78,1000,900000
J. Deumeland,Germany,IK Start,Right,GK,25 to 30,65,65,1000,350000
N. Lang,Netherlands,Ajax,Right,FWD,20 and under,65,77,3000,950000
V. Vries,Namibia,Kaizer Chiefs,Right,GK,25 to 30,65,68,1000,450000
L. Verstraete,Belgium,Waasland-Beveren,Right,MID,20 and under,65,77,3000,925000
J. Jigauri,Georgia,Grenoble Foot 38,Right,MID,21 to 25,65,68,2000,675000
D. Moxey,England,Exeter City,Left,DEF,31 to 35,65,65,3000,300000
C. Wernitznig,Austria,Wolfsberger AC,Right,MID,25 to 30,65,65,4000,550000
C. Valeri,Australia,Melbourne Victory,Right,MID,31 to 35,65,65,3000,220000
M. Mosquera,Colombia,Patriotas Boyacá FC,Left,DEF,21 to 25,65,68,1000,550000
R. Kouamé,Mali,Paris FC,Left,MID,21 to 25,65,76,6000,925000
D. Chima Chukwu,Nigeria,Molde FK,Right,FWD,25 to 30,65,66,2000,625000
E. Harrison,Wales,Ipswich Town,Right,FWD,21 to 25,65,66,3000,650000
T. Wendel,Germany,VfL Sportfreunde Lotte,Right,MID,25 to 30,65,65,1000,425000
O. Schnitzler,Germany,SC Preußen Münster,Right,GK,21 to 25,65,72,1000,550000
A. Coly,Senegal,Kristiansund BK,Right,DEF,21 to 25,65,67,1000,550000
M. Vera,Argentina,CD O'Higgins,Left,MID,21 to 25,65,74,2000,725000
R. De Vita,Italy,Livingston FC,Right,MID,25 to 30,65,65,2000,500000
F. Lohkemper,Germany,1. FC Magdeburg,Right,FWD,21 to 25,65,72,4000,775000
M. Ajani,Germany,Hallescher FC,Right,MID,21 to 25,65,68,1000,675000
M. Lund Nielsen,Denmark,Sarpsborg 08 FF,Right,MID,25 to 30,65,65,2000,500000
T. Mpati,Belgium,Sporting Lokeren,Right,DEF,25 to 30,65,67,4000,525000
Edu Espiau,Spain,UD Las Palmas,Right,FWD,21 to 25,65,71,3000,750000
H. Acosta,Mexico,Deportivo Toluca,Right,DEF,25 to 30,65,66,6000,525000
T. Bu Haymid,Saudi Arabia,Al Fayha,Left,DEF,25 to 30,65,65,5000,400000
D. Mikanović,Croatia,Aarhus GF,Right,DEF,21 to 25,65,71,3000,625000
R. Massimo,Germany,DSC Arminia Bielefeld,Right,MID,20 and under,65,82,4000,1000000
A. Smárason,Iceland,Lillestrøm SK,Right,MID,25 to 30,65,65,2000,525000
S. Brandy,Germany,DSC Arminia Bielefeld,Right,FWD,31 to 35,65,65,4000,350000
B. Adjei-Boateng,Ghana,Colorado Rapids,Right,MID,21 to 25,65,71,2000,725000
F. Milo,Argentina,San Martín de San Juan,Left,DEF,25 to 30,65,68,4000,550000
K. Cissé,Mali,Central Coast Mariners,Right,DEF,31 to 35,65,65,1000,160000
D. Castillo,Chile,CD Universidad de Concepción,Right,GK,25 to 30,65,68,1000,450000
A. Krešić,Croatia,US Cremonese,Right,DEF,21 to 25,65,75,5000,750000
Escriche,Spain,CD Lugo,Right,FWD,20 and under,65,75,5000,875000
E. Ataseven,Turkey,Akhisar Belediyespor,Right,MID,21 to 25,65,70,4000,600000
M. Kopczyński,Poland,Wellington Phoenix,Right,MID,25 to 30,65,68,3000,550000
Mao Jianqing,China PR,Shanghai Greenland Shenhua FC,Right,FWD,31 to 35,65,65,4000,475000
J. Clarke,England,Scunthorpe United,Right,DEF,25 to 30,65,66,3000,525000
Pak Kwang Ryong,Korea DPR,SKN St. Pölten,Right,FWD,21 to 25,65,66,5000,650000
J. Husband,England,Fleetwood Town,Left,DEF,21 to 25,65,70,6000,600000
A. Al Zori,Saudi Arabia,Al Wehda,Left,DEF,25 to 30,65,65,6000,400000
Airam,Spain,Cracovia,Right,FWD,25 to 30,65,65,2000,525000
M. Schulze Niehues,Germany,SC Preußen Münster,Right,GK,25 to 30,65,65,1000,375000
P. De la Vega,Argentina,Club Atlético Lanús,Right,FWD,20 and under,65,82,3000,1000000
P. Sweeney,Republic of Ireland,Exeter City,Right,DEF,21 to 25,65,69,3000,575000
P. Tuszyński,Poland,Zagłębie Lubin,Right,FWD,25 to 30,65,65,2000,550000
J. Mosquera,Colombia,América de Cali,Right,MID,25 to 30,65,68,1000,550000
M. Coppolaro,Italy,Venezia FC,Right,DEF,21 to 25,65,79,4000,1000000
R. Mmaee,Belgium,Aarhus GF,Right,FWD,21 to 25,65,74,4000,850000
S. Inagaki,Japan,Sanfrecce Hiroshima,Right,MID,25 to 30,65,67,3000,650000
E. Mwepu,Zambia,FC Red Bull Salzburg,Right,MID,20 and under,65,76,6000,925000
F. Viteritti,Germany,FC Energie Cottbus,Right,MID,21 to 25,65,67,1000,650000
A. Dyer,Montserrat,IF Elfsborg,Right,MID,25 to 30,65,65,2000,525000
M. Mak,Poland,Lechia Gdańsk,Right,MID,25 to 30,65,65,3000,575000
Bae Il Hwan,Korea Republic,Jeju United FC,Right,FWD,25 to 30,65,65,2000,525000
H. Adelakun,England,Bristol City,Right,MID,21 to 25,65,77,9000,950000
M. Devlin,Scotland,Aberdeen,Right,DEF,21 to 25,65,70,2000,625000
J. Serra,Germany,Holstein Kiel,Left,FWD,20 and under,65,78,3000,1000000
G. Faivre,Switzerland,FC Thun,Right,GK,31 to 35,65,65,3000,325000
K. Ellis,United States,DC United,Right,DEF,25 to 30,65,66,2000,500000
L. Janoszka,Poland,Zagłębie Lubin,Left,MID,31 to 35,65,65,2000,475000
P. Azango,Nigeria,KAA Gent,Left,FWD,21 to 25,65,74,4000,850000
M. Kennedy,Scotland,St. Johnstone FC,Right,FWD,21 to 25,65,71,2000,750000
N. Fitzgerald,Australia,Western Sydney Wanderers,Right,FWD,25 to 30,65,65,3000,575000
M. Kudo,Japan,Sanfrecce Hiroshima,Right,FWD,25 to 30,65,65,4000,550000
N. Busch Thor,Sweden,IK Sirius,Left,MID,31 to 35,65,65,1000,300000
M. Harriman,Republic of Ireland,Wycombe Wanderers,Right,DEF,21 to 25,65,67,2000,550000
L. Görtler,Germany,FC Utrecht,Right,FWD,21 to 25,65,71,5000,750000
D. Ovono,Gabon,Paris FC,Right,GK,31 to 35,65,65,1000,130000
L. Pellegrini,Italy,Roma,Left,DEF,20 and under,65,79,5000,1000000
K. Larsen,Norway,Sarpsborg 08 FF,Right,MID,25 to 30,65,66,2000,625000
A. Kruiswijk,Netherlands,Vitesse,Left,DEF,31 to 35,65,65,4000,210000
A. Jaakkola,Finland,Reading,Right,GK,31 to 35,65,65,6000,325000
T. Chong,Netherlands,Manchester United,Left,FWD,20 and under,65,85,13000,1000000
P. Alvarenga,Paraguay,San Martín de San Juan,Right,FWD,25 to 30,65,65,4000,525000
M. Pascali,Italy,Cosenza,Right,DEF,Over 35,65,65,1000,70000
L. Dyer,England,Bolton Wanderers,Left,MID,31 to 35,65,65,2000,240000
P. Delecroix,France,FC Metz,Right,GK,25 to 30,65,66,2000,425000
E. Hooi,Curacao,ADO Den Haag,Right,FWD,25 to 30,65,65,3000,575000
J. Riley,England,Plymouth Argyle,Right,DEF,25 to 30,65,66,3000,525000
J. López,Algeria,Paris FC,Right,MID,25 to 30,65,65,2000,575000
C. Stokes,England,Bury,Left,DEF,25 to 30,65,66,4000,500000
J. Campbell,United States,Chicago Fire,Right,DEF,21 to 25,65,69,2000,600000
Marcão,Brazil,Clube Sport Marítimo,Right,DEF,21 to 25,65,69,2000,600000
D. Mungo,Italy,Cosenza,Right,MID,21 to 25,65,67,1000,650000
G. Marinelli,Argentina,Club Atlético Tigre,Right,GK,25 to 30,65,66,3000,425000
G. Wegkamp,Germany,VfL Sportfreunde Lotte,Right,FWD,21 to 25,65,70,1000,725000
A. Gersbach,Australia,Rosenborg BK,Left,DEF,21 to 25,65,75,1000,750000
You Ju An,Korea Republic,Suwon Samsung Bluewings,Right,FWD,20 and under,65,73,1000,775000
M. Tacalfred,France,AJ Auxerre,Right,DEF,Over 35,65,65,1000,70000
I. Durmuş,Turkey,FC Wacker Innsbruck,Left,FWD,21 to 25,65,69,3000,700000
J. Méndez,Ecuador,,Right,MID,21 to 25,65,74,0,0
A. Otero,Colombia,Patriotas Boyacá FC,Right,GK,31 to 35,65,65,1000,220000
Kim Jin Ya,Korea Republic,Incheon United FC,Right,DEF,20 and under,65,77,1000,975000
D. Christensen,Denmark,Vendsyssel FF,Left,DEF,25 to 30,65,65,3000,400000
N. DeLeon,United States,DC United,Right,DEF,25 to 30,65,65,2000,450000
L. Grozurek,Austria,SK Sturm Graz,Right,FWD,25 to 30,65,66,5000,625000
L. Narváez,Colombia,Junior FC,Right,MID,31 to 35,65,65,1000,220000
R. McArdle,Northern Ireland,Scunthorpe United,Right,DEF,31 to 35,65,65,3000,375000
J. Pérez,United States,Los Angeles FC,Left,FWD,20 and under,65,81,2000,1000000
Loureiro,Spain,Córdoba CF,Right,DEF,21 to 25,65,73,2000,675000
Javi Hernández,Spain,Real Oviedo,Left,DEF,20 and under,65,79,18000,1000000
K. Appiah,Ghana,AFC Wimbledon,Right,FWD,25 to 30,65,65,3000,575000
R. Kirilov,Bulgaria,,Right,FWD,25 to 30,65,66,0,0
H. Matynia,Poland,Pogoń Szczecin,Right,DEF,21 to 25,65,72,2000,650000
Fran Gámez,Spain,RCD Mallorca,Right,DEF,25 to 30,65,66,2000,525000
O. Ademi,Switzerland,FC Würzburger Kickers,Right,FWD,25 to 30,65,66,3000,650000
J. Bjørdal,Norway,SV Zulte-Waregem,Right,DEF,31 to 35,65,65,4000,300000
A. Stolz,Germany,TSG 1899 Hoffenheim,Right,GK,31 to 35,65,65,6000,220000
Borja García,Spain,Extremadura UD,Left,DEF,25 to 30,65,67,2000,500000
N. Sonko Sundberg,Sweden,Östersunds FK,Right,DEF,21 to 25,65,72,1000,650000
T. Božić,Croatia,Miedź Legnica,Right,DEF,25 to 30,65,65,1000,400000
Guridi,Spain,Real Sociedad,Left,MID,21 to 25,65,73,6000,775000
Fabio González,Spain,UD Las Palmas,Right,MID,21 to 25,65,73,2000,700000
W. Thomas,England,Grimsby Town,Right,FWD,31 to 35,65,65,4000,475000
M. Costly,Germany,1. FC Magdeburg,Right,FWD,21 to 25,65,72,4000,750000
T. Knoflach,Austria,SK Rapid Wien,Right,GK,21 to 25,65,71,3000,550000
Z. Vyner,England,Rotherham United,Right,DEF,21 to 25,65,72,7000,650000
B. Atik,Turkey,SG Dynamo Dresden,Right,MID,21 to 25,65,72,5000,750000
L. Goujon,France,AJ Auxerre,Right,MID,21 to 25,65,74,2000,825000
M. Ferrier,England,Walsall,Right,FWD,21 to 25,65,70,2000,725000
H. Salinas,Chile,Deportes Iquique,Left,MID,25 to 30,65,65,1000,550000
K. Nakamachi,Japan,Yokohama F. Marinos,Right,MID,31 to 35,65,65,2000,300000
J. Ekkelenkamp,Netherlands,Ajax,Right,MID,20 and under,65,78,2000,950000
L. Haquin,Bolivia,,Right,DEF,20 and under,65,72,0,0
L. Legge,England,Port Vale,Right,DEF,31 to 35,65,65,4000,220000
K. Harris,England,Cardiff City,Right,MID,21 to 25,65,68,11000,675000
S. Avellaneda,Colombia,Boyacá Chicó FC,Right,GK,25 to 30,65,67,1000,450000
F. Ávila,Colombia,Patriotas Boyacá FC,Right,FWD,21 to 25,65,71,1000,725000
M. Almebäck,Sweden,Örebro SK,Right,DEF,25 to 30,65,65,2000,400000
J. Günther-Schmidt,Germany,FC Carl Zeiss Jena,Right,FWD,21 to 25,65,72,6000,775000
B. Rivero,Argentina,Newell's Old Boys,Right,MID,21 to 25,65,75,4000,750000
L. Argudo,United States,Columbus Crew SC,Right,MID,21 to 25,65,72,2000,750000
J. Leutwiler,Canada,Blackburn Rovers,Right,GK,25 to 30,65,65,8000,375000
J. Ortiz,Chile,Curicó Unido,Left,MID,25 to 30,65,65,3000,575000
E. Demirović,Bosnia Herzegovina,FC Sochaux-Montbéliard,Right,FWD,20 and under,65,79,5000,1000000
H. Petryk,Uruguay,San Martin de Tucumán,Right,DEF,21 to 25,65,72,3000,650000
S. O'Keefe,England,Plymouth Argyle,Right,MID,25 to 30,65,65,11000,550000
Woo Ju Sung,Korea Republic,Gyeongnam FC,Right,DEF,21 to 25,65,68,2000,550000
A. Čermák,Czech Republic,Viktoria Plzeň,Left,MID,21 to 25,65,72,1000,750000
E. Schreiner,Austria,SCR Altach,Left,DEF,25 to 30,65,65,4000,400000
A. Ba,France,AS Nancy Lorraine,Right,MID,20 and under,65,78,1000,1000000
U. Moses Ekpai,Nigeria,Viktoria Plzeň,Right,MID,21 to 25,65,73,1000,800000
L. Daniels,England,Brentford,Right,GK,25 to 30,65,65,8000,350000
R. Laursen,Denmark,Odense Boldklub,Right,DEF,25 to 30,65,68,3000,550000
J. Cullen,Republic of Ireland,Charlton Athletic,Right,MID,21 to 25,65,75,14000,850000
N. Kijewski,Germany,Eintracht Braunschweig,Left,DEF,21 to 25,65,73,2000,675000
B. Passi,France,Montpellier HSC,Right,DEF,20 and under,65,76,4000,825000
T. Müller,Germany,1. FC Magdeburg,Right,DEF,21 to 25,65,69,3000,600000
R. Procházka,Slovakia,Viktoria Plzeň,Right,MID,25 to 30,65,65,1000,425000
A. Alvarez,El Salvador,Houston Dynamo,Left,MID,31 to 35,65,65,2000,325000
Alex Vallejo,Spain,Córdoba CF,Right,MID,25 to 30,65,69,2000,575000
M. Pepić,Montenegro,FC Hansa Rostock,Left,MID,21 to 25,65,72,1000,750000
Matheus Jesus,Brazil,Portimonense SC,Left,MID,21 to 25,65,76,2000,825000
M. Gebers,Germany,SV Meppen,Right,DEF,31 to 35,65,65,1000,300000
E. Pimentel,Mexico,Puebla FC,Right,DEF,25 to 30,65,65,13000,450000
A. Jackson-Hamel,Canada,Montreal Impact,Right,FWD,21 to 25,65,69,2000,725000
Paulito Zanon,Brazil,Paraná,Right,MID,25 to 30,65,65,5000,475000
